name	team_name
SMF1 TweetyPie Staging Canary	Platform Services
SMF1 TweetyPie Staging Canary Backend	Platform Services
SMF1 TweetyPie Staging Canary GC	Platform Services
SMF1 TweetyPie Staging Canary Clients	Platform Services
Trends Staging Backend	Trends
Mobile Web Signups	Mobile
TSEng Top Lines	Trust and Safety - Engineering
Adserver db synchronization	Revenue Eng & Product
Manhattan - manhattan.prod.adama	Manhattan/Cassandra
Roac	Anti-Spam
photukey delays	TCC
Queue Ages	Build & Release
Selvin's dashboard	Runtime Systems
Cassandra - cassandra.prod.cuckoo-keytracker	Manhattan/Cassandra
Cassandra - cassandra.prod.cuckoo-minutely	Manhattan/Cassandra
Jeff Sarnat's Dashboards	Platform Services
Core Services	Hardware Eng & Demand Svcs
Weekly Success Metrics	TCC
rc -Overall Success rate 	TCC
Tweetypie Memcache oddness	TCC
Tweet Extensions	Platform Services
Kujaku (Staging - SMF1)	Eng - international
friendship_api_authenticity_failures	Security
Gizmoduck Production Stooges	Core Services
Cache/appsrvc.cache/Health	Runtime systems
Cassowary DB Master	User Discovery & Personalization
dw-worker	Runtime Systems
Search QPS	Demand Services
tfe swift latencies	Web
Hummingbird::Vex.Collection.ShardCapacity	Runtime Systems
Ads Realtime Daemon	Revenue Eng & Product
image upload success	TCC
misc-cache3 health	Revenue Eng & Product
Tweetbutton Macaw Canary	Platform Services
Image Proxy Thrift	Platform Services
Image Proxy HTTP	Platform Services
Hadoop - Backups cluster overview	Manhattan/Cassandra
SMF1 TweetyPie Traffic Profile	Platform Services
Hadoop - RT cluster overview	Manhattan/Cassandra
Hadoop - Test cluster overview	Core storage & database engineering
Website Analytics	Revenue Eng & Product
quick test dashboard	Anti-Spam
David's Template Test	Runtime Systems
Temporary Macaw-Swift	Application Services
Don	Manhattan/Cassandra
TweetDeck Daemon	Mobile
jlkjl	Runtime Systems
mesos smf1 service proxy	Runtime Systems
MTA	Operations Engineering
Events	Search
SMF1 TweetyPie Staging Traffic Profile	Platform Services
rc-tflock mysql process data	TCC
Macaw-Swift (Viz Test)	Platform Services
Macaw-Swift (Production)	Platform Services
Macaw-Swift (Canary)	Platform Services
latency_mon	TCC
Blobstore - (devel) manager	Core Storage & Database Engineering
hosebird-kestrel	Platform Services
Monorail Latency Showdown	Platform Services
network template	Runtime Systems
SMF1 TweetyPie Canary Traffic Profile	Platform Services
rc-twitterweb_api_503	TCC
Search Capacity	Demand Services
SMF1 TweetyPie Staging Canary Traffic Profile	Platform Services
misc-small-cache health	Runtime Systems
Monorail Success Rate Showdown	Platform Services
Cassandra - cassandra.prod.addressbook	Manhattan/Cassandra
Cassandra - cassandra.prod.syndication	Manhattan/Cassandra
Promptbird Canary	Eng - Activation & Messaging
Blobstore - (devel) storagenode	Core Storage & Database Engineering
Blobstore - (prod) storagenode	Core Storage & Database Engineering
Observability::Ostrichagg.FinagleMetrics	Runtime Systems
Lookaside cache hitrates	Platform Services
zookeeper cluster monitor	Operations Engineering
Macaw Typeahead (staging)	macaw-search-team
Observability::template.jvm	Runtime Systems
Hadoop - HBase TST cluster overview	Core storage & database engineering
